key,job_role,job_title,company_name,skills,job_type,location,experience
1,Data Analyst,Data Operations Analyst,Synechron Technologies Private Limited,"['Production Support', 'Sql']",Full time,Bengaluru / Bangalore,3-6 Years
2,Data Analyst,Data Transmission Analyst,Cognizant Technology Solutions India Pvt Ltd,"['""Connect:Direct""', '""File transmission""', '""NDM""']",Full time,"Chennai, Pune",6-9 Years
3,Data Analyst,Senior Analyst - Clinical Data Management,Stryker,"['data discrepancy', 'Statistical Techniques', 'data querying']",Full time,"Bengaluru / Bangalore, India",6-12 Years
4,Data Analyst,DATA ANALYST INTERNSHIP IN PUNE,Maxgen Technologies Private Limited,"['Internship', 'Live Projects', 'Academic Projects']",Full time,"Pune, Dhule / Dhulia",Fresher
5,Data Analyst,"Senior Associate- Data Hierarchy Analyst, Master Data Management",Genpact,"['Data Analysis', 'Communication', 'Problem Solving']",Full time,Hanamkonda,0-2 Years
6,Data Analyst,Lead Consultant-Data Analyst,Genpact,"['SSIS', 'Data Migration', 'C#', 'SQL Server', 'Ms Excel']",Full time,Noida,0-2 Years
7,Data Analyst,Associate Business Analyst - Master Data,Novo Nordisk,"['Pharma', 'Data Analysis', 'Supply Chain', 'SAP']",Full time,"Bengaluru / Bangalore, India",4-6 Years
8,Data Analyst,Data Analyst - Max - 30 LPA,Rapsys Tech Solutions Private Limited,"['Data Analyst', 'Data Flow', 'Airflow', 'ibm infosphere']",Full time,Bengaluru / Bangalore,7-17 Years
9,Data Analyst,Senior Data Analyst,Freshworks,"['SaaS metrics', 'Data Modelling', 'Power Bi', 'Data Warehousing']",Full time,"Chennai, India",5-7 Years
10,Data Analyst,Modelling / Data Science - Lead Analyst - Analytics,dentsu,"['Data Analysis', 'r', 'Machine Learning', 'python']",Full time,"Bengaluru / Bangalore, India",3-5 Years
11,Data Analyst,DATA ANALYST INTERNSHIP AT PUNE,Maxgen Technologies Private Limited,"['Data Analyst', 'Data Analysis', 'Internship', 'Live Projects']",Full time,"Pune, Kolhapur",Fresher
12,Data Analyst,DATA ANALYST INTERNSHIP AT PUNE,Maxgen Technologies Private Limited,"['Internship', 'Live Projects', 'Academic Projects']",Full time,"Pune, Amravati",Fresher
13,Data Analyst,Master Data Steward/Analyst,Akzonbel,"['MDM', 'Root Cause Analysis', 'master data quality']",Full time,"Pune, India",2-3 Years
14,Data Analyst,Senior Analyst - Clinical Data Management,Stryker,"['data discrepancy', 'root causes', 'data querying']",Full time,"Bengaluru / Bangalore, India",6-12 Years
15,Data Analyst,Machine Learning Data Monitoring Analyst,Aptiv,"['Dashboard Monitoring', 'Data Analysis', 'Nosql']",Full time,"Bengaluru / Bangalore, India",0-2 Years
16,Data Analyst,Data Analyst 2 (DAT00971),Acko,"['Data Analysis', 'Powerpoint', 'Problem Solving']",Full time,"Bengaluru / Bangalore, India",3-5 Years
17,Data Analyst,Data Analyst - Internal Audit,Maruti Suzuki,"['CISA Certification', 'Data Analysis', 'Sql', 'Power Bi']",Full time,"Gurugram, Gurgaon / Gurugram",2-5 Years
18,Data Analyst,GCR-Data COE_Advanced Analyst,Ernst & Young,"['structured thinking abilities', 'project management']",Full time,"Bengaluru / Bangalore, India",2-4 Years
19,Data Analyst,Sr Associate Data Analyst - Workday Success Plans,Workday,"['Slides', 'Spreadsheets', 'ETL processes', 'Drive']",Full time,"Pune, India",2-4 Years
20,Data Analyst,Machine Learning Data Monitoring Analyst,Aptiv,"['Dashboard Monitoring', 'Data Analysis', 'Nosql']",Full time,"Bengaluru / Bangalore, India",0-2 Years
21,Data Analyst,"Consulting - BO - OT - Analyst - Data Analysis, Visualization, Smart Mobility, Transport",Deloitte,"['Traffic modeler', 'Route Planning', 'Multi-Modal Integration']",Full time,"Bengaluru / Bangalore, India",1-3 Years
22,Data Analyst,Financial Data Analyst - Global Revenue Operations,Visa,"['PowerQuery', 'R', 'Power Apps', 'Microsoft Power Automate']",Full time,"Bengaluru / Bangalore, India",2-3 Years
23,Data Analyst,Associate Healthcare Research & Data Analyst,Clarivate,"['Data Analysis', 'project management', 'market research']",Full time,"Bengaluru / Bangalore, India",2-4 Years
24,Data Analyst,Data Analyst,TransUnion,"['Macheye', 'BigQuery', 'Hive', 'Spark', 'Tableau']",Full time,"Hyderabad / Secunderabad, Telangana, India",3-5 Years
25,Data Analyst,Senior Analyst - Data Science,Electrobrain Modern Technologies Private Limited,"['silicon', 'Consulting', 'Analytical', 'Process Documentation']",Full time,"Chennai, Delhi",2-7 Years
26,Data Analyst,Data Analyst Required,Roundworld Immigration Private Limited,"['Data Analyst', 'Reporting Analyst', 'MIS Analyst']","International, Full time",Canada,2-7 Years
27,Data Analyst,Data Analyst Internship at Ahmedabad,Maxgen Technologies Private Limited,"['Internship', 'Live Projects', 'Academic Projects']",Full time,"Ahmedabad, Mehsana",Fresher
28,Data Analyst,Senior Analyst - Data Science,Electrobrain Modern Technologies Private Limited,"['silicon', 'Consulting', 'Analytical', 'Process Documentation']",Full time,"Noida, Pune",2-7 Years
29,Data Analyst,DATA ANALYST INTERNSHIP AN PUNE,Maxgen Technologies Private Limited,"['Internship', 'Live Projects', 'Academic Projects']",Full time,"Pune, Nanded",Fresher
30,Data Analyst,DATA ANALYST INTERNSHIP AT PUNE,Maxgen Technologies Private Limited,"['Internship', 'Live Projects', 'Academic Projects']",Full time,"Pune, Solapur",Fresher
31,Data Analyst,"D&T Analyst II - Data Foundations, Supply Chain",General Mills,"['SAP S4', 'SAP R/3', 'Data Modelling', 'Power Bi']",Full time,"Mumbai, India",4-7 Years
32,Data Analyst,Senior Data Analyst - India,Gojek,"['Metabase', 'Google Data Studio', 'Clevertap']",Full time,"Bengaluru / Bangalore, India",3-5 Years
33,Data Analyst,Machine Learning Data Monitoring Analyst,Aptiv,"['Dashboard Monitoring', 'Data Analysis', 'Machine Learning']",Full time,"Bengaluru / Bangalore, India",1-4 Years
34,Data Analyst,Analyst - Data Science,MSD,"['Sagemaker', 'Bokeh', 'Statistics', 'R-Shiny', 'Django']",Full time,"Pune, India",0-2 Years
35,Data Analyst,Senior Data Analyst,servicenow,"['Statistics', 'IP networks', 'Excel', 'Power Bi', 'Sql']","International, Full time","Canada, India",5-7 Years
36,Data Analyst,Senior Data Analyst with Tableau and Python,Qualcomm,"['Data Model development', 'Data Analysis', 'Data Exploration']",Full time,"Hyderabad / Secunderabad, Telangana, India",0-3 Years
