key,job_role,job_title,company_name,skills,job_type,location,experience
1,Data Engineer,AWS Data engineer,Kaizen SRA Technologies Private Limited,"['airflow', 'python', 'Pyspark', 'aws', 'oozie']","Jobs for Women, Full time",Bengaluru / Bangalore,4-8 Years
2,Data Engineer,Azure Data Engineer,Elite,['Azure Data Engineer'],Full time,Coimbatore,4-7 Years
3,Data Engineer,Data Engineer,Yellow Umbrella Group,"['Azure Data Engineer', 'ADL', 'Data Engineer']",Full time,"Delhi, Pune",4-9 Years
4,Data Engineer,Azure Data Engineer,Tredence Analytics Solutions Private Limited,['Data Engineer'],Full time,"Bengaluru / Bangalore, Gurgaon / Gurugram",5-9 Years
5,Data Engineer,H1B Visa Sponsorship for IT Professionals for Snowflake Data Engineer,Intalent LLC,"['Snow Flake', 'Data Analyst', 'could data warehousing. Datawarehouse']","International, Full time",United States of America (USA),6-12 Years
6,Data Engineer,Data Reliability Engineer I,Company name confidential,"['Snow Flake', 'Spark']","Work From Home, Full time","Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana",0-4 Years
7,Data Engineer,Data Engineer,Career Foresight Hr Solutions Llp,['Data Engineer'],Full time,Cochin / Kochi / Ernakulam,6-10 Years
8,Data Engineer,Data Operations and Developement Engineer - Con- Bangalore (Job Code : J47634),Sampoorna Consultants Private Limited,['SQL Server'],Full time,Bengaluru / Bangalore,3-8 Years
9,Data Engineer,Sr. Azure Data Engineer.,Happy Square Outsourcing Services Private Limited,"['URL', 'Azure Cloud', 'Azure', 'AWS', 'DataBricks']",Full time,Mumbai,5-11 Years
10,Data Engineer,React Native Onsite Job For IT GCP DATA Engineer USA H1B Visa,Vaakruthi Software Solutions,['React Native'],Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana",3-13 Years
11,Data Engineer,DATA engineer with AZURE,ERM Placement Services Private Limited,['Pyspark'],"Jobs for Women, Full time","Bengaluru / Bangalore, Noida",4-8 Years
12,Data Engineer,Azure Data Engineer,Aequor Information Technologies Priivate Limited,['Azure data Engineer'],Full time,Chennai,5-10 Years
13,Data Engineer,Sr Azure Data Engineer,Company name confidential,"['Data Processing', 'databrick', 'Data Structures']","Jobs for Women, Full time",Pune,5-7 Years
14,Data Engineer,H1B Visa Sponsorship for IT Professionals for Azure/AWS Data Engineer,Intalent LLC,"['Data Optimization', 'Data Analysis', 'Deployment']","International, Full time",United States of America (USA),6-12 Years
15,Data Engineer,Data Science Engineer,Electrobrain Modern Technologies Private Limited,['pythondata miningProblem SolvingsqlData Science Pysparkalgorithmsnatural language processingteam handlingtime seriesnosqlanalyticsdeep learningregressionlogistic regressionmongodb'],Full time,"Noida, Pune",3-8 Years
16,Data Engineer,"Data Engineer - Big Data (Hadoop, Java, Spark, Kafka, Hive)",Visa,[],Full time,"Bengaluru / Bangalore, India",Fresher
17,Data Engineer,Lead Software Engineer - Data Engineering,Freshworks,"['Airflow', 'snowflake', 'Trino', 'Flink', 'Java', 'Presto']",Full time,"Bengaluru / Bangalore, India",8-10 Years
18,Data Engineer,"Data Engineer in Test -Big Data ecosystem (Hadoop, Hive, Spark, Kafka)",Visa,"['Big Data ecosystem', 'business intelligence']",Full time,"Bengaluru / Bangalore, India",2-3 Years
19,Data Engineer,Lead Consultant - Google Cloud Platform (GCP) Data Engineer,Genpact,"['analytical', 'Collaboration', 'Dataprep', 'Problem-solving']",Full time,Pune,0-2 Years
20,Data Engineer,Lead Data Engineer,Chase Bank,"['relational', 'Statistics', 'geometrical algorithms']",Full time,"Bengaluru / Bangalore, India",5-7 Years
21,Data Engineer,Principal Consultant-Lead Data Engineer,Genpact,"['Python', 'Sql', 'graph databases', 'AWS', 'Etl']",Full time,Bengaluru / Bangalore,5-10 Years
22,Data Engineer,Consulting - BO - Cloud Engineering - Senior Consultant - Azure Data Engineer HDFC,Deloitte,"['MS SQL RDBMS', 'SQL Query Language', 'data warehouse transformation processes']",Full time,"Mumbai, India",6-9 Years
23,Data Engineer,Lead Consultant-DBT Data Engineer,Genpact,"['Python', 'Sql', 'graph databases', 'AWS', 'Etl']",Full time,Bengaluru / Bangalore,0-2 Years
24,Data Engineer,Consulting - BO: Cloud Engineering - Senior Consultant- ML Ops Data Engineer,Deloitte,"['Airflow', 'Scikit-learn', 'Go', 'DataRobot', 'Kubeflow']",Full time,"Bengaluru / Bangalore, India",5-8 Years
25,Data Engineer,"Sr Data Engineer -Big Data technologies (Hadoop, Java, Spark, Kafka, Hive)",Visa,[],Full time,"Bengaluru / Bangalore, India",Fresher
26,Data Engineer,Software Engineer/Data Engineer (Python/SQL/GCP),GfK,"['Communication', 'Problem Solving', 'CI/CD']",Full time,"Chennai, Pune",3-5 Years
27,Data Engineer,Data Engineer,Metlife,"['Visualization', 'Data Analysis', 'Hive', 'RDBMS']",Full time,"Noida, India",8-13 Years
