key,job_role,job_title,company_name,skills,job_type,location,experience
1,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Python,Scala,Sql",Full time,"Delhi, Kolkata",5-8 Years
2,Data Engineer,Data Engineer - OACS,LTIMindtree Limited,"OACS,OAC,OAS",Full time,Mumbai,3-8 Years
3,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Python,Scala,Sql",Full time,"Bengaluru / Bangalore, Pune",5-8 Years
4,Data Engineer,GCP Data Engineer,LTIMindtree Limited,"Gcp,BigQuery,Python",Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana",3-13 Years
5,Data Engineer,Azure Data Engineer,Covalense Technologies Private Limited,"""Data engineer"",""Databricks"",""Data bricks""",Full time,Bengaluru / Bangalore,7-12 Years
6,Data Analyst,Data Quality Analyst,Synechron Technologies Private Limited,"Data Quality Analyst,Data Quality,Data Management",Full time,"Bengaluru / Bangalore, Pune",5-7 Years
7,Data Analyst,Data Quality Analyst,Synechron Technologies Private Limited,"Data Quality Analyst,Data Quality,Data Management",Full time,"Delhi, Kolkata",5-7 Years
8,Data Analyst,Business Consultant - Data Analyst - Sales,Blue Yonder,"Pandas,Numpy",Full time,"Bengaluru / Bangalore, India",3-5 Years
9,Data Analyst,Data Mining Analyst,Make Visions Outsourcing Private Limited,Data Mining,Full time,Ahmedabad,1-5 Years
10,Data Analyst,Technical Data Analyst,HighPoints Technologies India Private Limited,"Product Development,Sql,Api,Java,Javascript",Full time,Bengaluru / Bangalore,1-3 Years
11,Data Architect,Data Architect,Synechron Technologies Private Limited,"Data Architect,Solution Architecture,Python",Full time,"Bengaluru / Bangalore, Pune",10-13 Years
12,Data Architect,Data Architect,Synechron Technologies Private Limited,"Data Architect,Solution Architecture,Python",Full time,"Delhi, Kolkata",10-13 Years
13,Data Architect,Data Cloud Senior Success Architect,Salesforce,"Big Query,Tealium,Ai,Segment,Amperity",Full time,"Hyderabad / Secunderabad, Telangana, India",8-10 Years
14,Data Architect,Data Cloud Senior Success Architect,Salesforce,"Big Query,Tealium,Ai,Segment,Amperity",Full time,"Mumbai, India",8-10 Years
15,Data Architect,"Data & Information Architect - PL-SQL, ETL , OAS or ODI , Data Modelling",Baker Hughes,"PL- SQL,OAS,Etl,Oracle BI,Rally,Jira",Full time,"Mumbai, India",5-7 Years
16,Data Scientist,Senior Data Scientist,servicenow,"R,ServiceNow Platform,Tableau Prep,Performance Analytics",Full time,India,1-4 Years
17,Data Scientist,Data Scientist,D Square Consulting Services Private Limited,"Python,Sql","International, Full time",Other International,5-10 Years
18,Data Scientist,Data Scientist,Company name confidential,"Machine Learning,Python",Full time,Bengaluru / Bangalore,1-6 Years
19,Data Scientist,Data Scientist II (Detection + Deep Learning +Classical ML),HERE Technologies,"mxnet,scikit-learn,supervised learning,object detection",Full time,"Mumbai, India",2-4 Years
20,Data Scientist,Principal Data Scientist,Lowe's India,"Aster,Teradata,Java,Rust,Machine Learning",Full time,"Bengaluru / Bangalore, India",3-8 Years
21,Machine Learning Engineer,Machine Learning Engineer Required in Abroad,Donivia Overseas Private Limited,"machine learning engineer,Machine Learning",Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana",2-12 Years
22,Machine Learning Engineer,Python Developer,HCL Technologies Limited,"Python,Microservices,Kubernetes,Machine Learning",Full time,Bengaluru / Bangalore,3-10 Years
23,Machine Learning Engineer,Machine Learning Engineer II,Uplers,"ChatGPT,llm prompt engineering,snowflake",Full time,"Bengaluru / Bangalore, India",4-6 Years
24,Machine Learning Engineer,Machine Learning Engineer,True Tech Professionals Private Limited,"LLMs,BERT,GPT -variant,tensor flow,Transformer",Full time,Remote,6-16 Years
25,Machine Learning Engineer,Sr. Machine Learning Engineer (WFH),Uplers,"ChatGPT,llm prompt engineering,snowflake",Full time,"Noida, India",6-8 Years
