key,job_role,job_title,company_name,skills,job_type,location,experience
1,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Big Data,Hadoop,Hive",Full time,"Bengaluru / Bangalore, Pune",5-10 Years
2,Data Engineer,Data Engineer- OBIEE,LTIMindtree Limited,"Business Intelligence,OBIEE,Data Warehouse",Full time,"Bengaluru / Bangalore, Mumbai",3-8 Years
3,Data Engineer,Data Engineer (Spark/Streaming),Synechron Technologies Private Limited,"Data Engineer,Big Data,Spark,Streaming",Full time,"Chennai, Hyderabad / Secunderabad, Telangana",5-10 Years
4,Data Engineer,GCP Data Engineer,LTIMindtree Limited,"""GCP"",Python,Sql,Cloud Computing",Full time,Mumbai,3-8 Years
5,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Big Data,Hadoop,Hive",Full time,Mumbai,5-10 Years
6,Data Engineer,Principle Data Engineer,Synechron Technologies Private Limited,"Principle Data Engineer,Big Data,Hadoop",Full time,Mumbai,15-20 Years
7,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Big Data,Hadoop,Hive",Full time,"Chennai, Hyderabad / Secunderabad, Telangana",5-10 Years
8,Data Engineer,Principle Data Engineer,Synechron Technologies Private Limited,"Principle Data Engineer,Big Data,Hadoop",Full time,"Bengaluru / Bangalore, Pune",15-20 Years
9,Data Engineer,Data Engineer - OACS,LTIMindtree Limited,"OACS,OAC,OAS,OBIEE",Full time,Mumbai,3-8 Years
10,Data Engineer,Data Engineer (Spark/Streaming),Synechron Technologies Private Limited,"Data Engineer,Big Data,Spark,Streaming",Full time,Mumbai,5-10 Years
11,Data Engineer,Data Engineer (Spark/Streaming),Synechron Technologies Private Limited,"Data Engineer,Big Data,Spark,Streaming",Full time,"Bengaluru / Bangalore, Pune",5-10 Years
12,Data Engineer,Principle Data Engineer,Synechron Technologies Private Limited,"Principle Data Engineer,Big Data,Hadoop",Full time,"Chennai, Hyderabad / Secunderabad, Telangana",15-20 Years
13,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Spark,Hive,Sqoop,Kafka",Full time,"Chennai, Pune",7-10 Years
14,Data Engineer,Data Engineer Ab Initio,Brain Management Consultants India Private Limited,"Ab Initio GDE,Ab Initio,Abinitio",Full time,"Bengaluru / Bangalore, Gurgaon / Gurugram",3-10 Years
15,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"Data Engineer,Spark,Hive,Sqoop,Kafka",Full time,Gurgaon / Gurugram,7-10 Years
16,Data Engineer,"Data Engineer II, Amazon Last Mile",Amazon Music,"aws,Java,python,Scala,Sql",Full time,India,3-5 Years
17,Data Engineer,Consulting-BO-Cloud Engineering-GCP Data Engineer-Chennai,Deloitte,"python,mysql,Apache Spark,sql server",Full time,"Chennai, India",2-4 Years
18,Data Engineer,Consulting-BO-Cloud Engineering-AWS Data Engineer-Consultant,Deloitte,"snowflake,CloudTrail,Glue,AWS,Sql",Full time,"Mumbai, India",3-5 Years
19,Data Engineer,Azure Data Engineer,ITC Infotech India Limited,"Technical,Infrastructure,Cloud,Azure",Full time,"Bengaluru / Bangalore, India",Fresher
20,Data Engineer,"Sr. Data Engineer (Datawarehouse , ETL , Cloud ,PySpark ) 10+ years",Western Digital,"Data Modelling,PL/SQL,Oracle Database Management",Full time,"Bengaluru / Bangalore, India",7-10 Years
21,Data Engineer,Azure Data Engineer,ITC Infotech India Limited,"Technical,App Development,Devops,Azure Devops",Full time,"Bengaluru / Bangalore, India",Fresher
22,Data Engineer,Data Engineer - Azure,ITC Infotech India Limited,"notebooks development,Data bricks,Azure",Full time,"Gurgaon / Gurugram, India",3-6 Years
23,Data Engineer,"Data Engineer II, Amazon Last Mile",Amazon Music,"aws,Java,python,Scala,Sql",Full time,India,3-5 Years
24,Data Engineer,Consulting-BO-Cloud Engineering-Senior Consultant-GCP Big data Data Engineer-Chennai,Deloitte,"python,mysql,Apache Spark,sql server",Full time,"Delhi, India",5-8 Years
25,Data Engineer,Consulting-BO-Cloud Engineering-Senior Consultant-GCP Big data Data Engineer-Delhi,Deloitte,apache spart/cdh/hdp/emr/google dataproc/hd-insights distributed processing,Full time,"Delhi, India",4-8 Years
26,Data Engineer,Expert Data Engineer,Schneider Electric,"Azure Pipelines,Github actions,R,CI/CD",Full time,"Bengaluru / Bangalore, India",6-8 Years
27,Data Engineer,Data Engineer-Python,NTT Data,"plotly dash,parquet,Azure,python,Pandas",Full time,"Bengaluru / Bangalore, India",0-2 Years
28,Data Engineer,Senior Data Engineer - Data Analytics Competence GECIA,Atlas Copco,"Tibco Data Virtualisation,Data Modelling,Power Bi",Full time,"Pune, India",2-3 Years
29,Data Engineer,Senior Principal Data Engineer,GSK,"ADLS V2,Safe,Architecture Design,Domain-driven Design",Full time,"Bengaluru / Bangalore, India",15-17 Years
30,Data Engineer,Sr. Data Engineer - Finance Data Analytics,Crowdstrike,"Airflow,snowflake,Data Modelling,SFDC",Full time,"Bengaluru / Bangalore, India",0-2 Years
31,Data Engineer,Data Engineer II-Big Data,Chase Bank,"Sql,Databricks,Emr,Java,AWS Glue",Full time,"Bengaluru / Bangalore, India",2-4 Years
32,Data Engineer,Azure Data Engineer,ITC Infotech India Limited,ETL | PYSpark Azure,Full time,"Bengaluru / Bangalore, India",Fresher
33,Data Engineer,AWS DATA ENGINEER,TE Connectivity,"Sql,Etl,Aws Services,Aws Redshift,Oracle",Full time,"Bengaluru / Bangalore, India",3-5 Years
34,Data Engineer,Data Engineer III-Big Data,Chase Bank,"Flink,Sql,Emr,Java,AWS Glue,Nosql",Full time,"Bengaluru / Bangalore, India",3-5 Years
35,Data Engineer,Data Engineer - Cloud Data Platform,Qualcomm,"Data APIs,SAFe Agile Scrum,Polyglot persistence",Full time,"Hyderabad / Secunderabad, Telangana, India",3-5 Years
36,Data Engineer,Data Engineer II-Big Data,Chase Bank,"Sql,Databricks,Emr,Java,AWS Glue",Full time,"Bengaluru / Bangalore, India",2-4 Years
37,Data Engineer,Data Engineer II-Big Data,Chase Bank,"NoSQL databases,Sql,Databricks,Emr",Full time,"Bengaluru / Bangalore, India",2-4 Years
38,Data Engineer,Staff Big data Engineer,servicenow,"Kudu,Hadoop,Rabbitmq,Groovy,Java",Full time,"Hyderabad / Secunderabad, Telangana, India",6-9 Years
39,Data Engineer,Data Engineer,ITC Infotech India Limited,ETL | PYSpark Azure,Full time,"Bengaluru / Bangalore, India",Fresher
40,Data Engineer,Data Engineer II-Big Data,Chase Bank,"Sql,Databricks,Emr,Java,AWS Glue",Full time,"Bengaluru / Bangalore, India",2-4 Years
41,Data Engineer,Software Engineer III - AWS Data Engineer,Chase Bank,"Analytical Skills,Aurora,Lambda EC2,cloud platforms",Full time,"Hyderabad / Secunderabad, Telangana, India",2-3 Years
42,Data Engineer,Data Engineer II-Big Data,Chase Bank,"Sql,Databricks,Emr,Java,AWS Glue",Full time,"Bengaluru / Bangalore, India",2-4 Years
43,Data Engineer,Data Engineer III-Big Data,Chase Bank,"Flink,Sql,Emr,Java,AWS Glue,Nosql",Full time,"Bengaluru / Bangalore, India",3-5 Years
44,Data Engineer,Principal Data Engineer,GSK,"big-data processing,Power Apps,Safe,AKS",Full time,"Bengaluru / Bangalore, India",7-10 Years
45,Data Engineer,"Senior, Data Engineer",Walmart Global Tech India,"GCP Pub/Sub,Airflow,Java,Hadoop,Cassandra",Full time,"Bengaluru / Bangalore, India",3-7 Years
46,Data Engineer,Principal Consultant-Senior Data Engineer,Genpact,"Python,Sql,graph databases,AWS,Etl",Full time,Pune,5-10 Years
47,Data Engineer,"Data Engineer, IN Data Engineering & Analytics",Amazon Music,"Warehousing,ETL pipelines,Sql,SSIS,AWS Infrastructure",Full time,India,1-3 Years
48,Data Engineer,Senior Data Engineer for Enterprise AI/ML,Oracle,"data pipelines,Data Flow,data scientists",Full time,"Bengaluru / Bangalore, India",0-2 Years
49,Data Engineer,Azure Data Engineer in a reputed company .,Talentico Consultancy Services,"Mandatory skills- Azure Cloud expertise,Synapse/Pyspark Good to have- Java",Full time,"Bengaluru / Bangalore, Chennai",7-12 Years
50,Data Engineer,Deputy Manager_Assistant Lead_GCP Data Engineer_Pune,Vodafone,"GCP DataProc,Nosql,BigQuery,Pyspark",Full time,Pune,5-9 Years
51,Data Engineer,Senior Data Engineer - Data Analytics Competence GECIA,Atlas Copco,"Ac,Tibco Data Virtualisation,Sql,Power Bi",Full time,"Pune, India",2-3 Years
