key,job_role,job_title,company_name,skills,job_type,location,experience
1,Data Engineer,Data Engineer - OACS,LTIMindtree Limited,"['OACS', 'OAC', 'OAS', 'OBIEE']",Full time,Mumbai,3-8 Years
2,Data Engineer,Data Engineer Ab Initio,Brain Management Consultants India Private Limited,"['Ab Initio GDE', 'Ab Initio', 'Abinitio']",Full time,"Bengaluru / Bangalore, Gurgaon / Gurugram",3-10 Years
3,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"['Data Engineer', 'Spark', 'Hive', 'Sqoop', 'Kafka']",Full time,"Chennai, Pune",7-10 Years
4,Data Engineer,Data Engineer- OBIEE,LTIMindtree Limited,"['Business Intelligence', 'OBIEE', 'Data Warehouse']",Full time,"Bengaluru / Bangalore, Mumbai",3-8 Years
5,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"['Data Engineer', 'Spark', 'Hive', 'Sqoop', 'Kafka']",Full time,"Bengaluru / Bangalore, Mumbai",7-10 Years
6,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"['Data Engineer', 'Spark', 'Hive', 'Sqoop', 'Kafka']",Full time,Gurgaon / Gurugram,7-10 Years
7,Data Engineer,Data Engineer with Python,HNM Solutions,"['Data Engineer', 'python', 'AWS', 'Pyspark']",Full time,Chennai,5-5 Years
8,Data Engineer,Data Engineer,Supernal Infotech Private Limited,"['AWS Glue', 'Redshift', 'Kinesis']","Contract Job, International, Part time","Malaysia, Thailand",6-8 Years
9,Data Engineer,Data Engineer And DataWare House,Quess IT Staffing (Formerly known as Magna Infotech),"['Dataware House', 'Python', 'Pyspark', 'Sql Queries']",Full time,"Hyderabad / Secunderabad, Telangana",5-10 Years
10,Data Engineer,Data Engineer,Mobile Programming LLC,['SQL Python/Scala/Java Big Data technologies (Hadoop'],Full time,"Bengaluru / Bangalore, Chennai",3-5 Years
11,Data Engineer,Snowflake Data Engineer (Snowflake Datawarehouse) Lead,Santo Systems Private Limited,"['Snowflake Data Engineer', 'Snowflake Data Warehouse']",Full time,Bengaluru / Bangalore,12-14 Years
12,Data Engineer,Data Engineer,Tranquil Hr Solutions Private Limited,"['Cloud Data Engineering', 'Spark', 'Databricks']",Full time,Chennai,4-6 Years
13,Data Engineer,Data engineer,Live Connections,"['Big Data', 'Pyspark', 'Python']",Full time,Chennai,2-5 Years
14,Data Engineer,Data Governance Engineer,HR Desire,"['Analytical Skills', 'Data Governance', 'Microsoft Azure']",Full time,Gurgaon / Gurugram,4-8 Years
15,Data Engineer,Data Engineer,Quess IT Staffing (Formerly known as Magna Infotech),"['Azure', 'Aws Cloud']",Full time,Bengaluru / Bangalore,4-10 Years
16,Data Engineer,Software Engineer -Data Analytics,PubMatic,"['snowflake', 'Java', 'Amazon Web Services', 'Tomcat']",Full time,"Pune, India",2-4 Years
17,Data Engineer,Data Quality operations engineer,NTT Data,"['Data Analysis', 'Communication Skills', 'Problem Solving']",Full time,"Hyderabad / Secunderabad, Telangana, India",0-2 Years
18,Data Engineer,Sr Data Engineer,Lowe's India,"['Teradata', 'Map Reduce', 'Cloud Bigdata', 'BI Engineering']",Full time,"Bengaluru / Bangalore, India",0-5 Years
19,Data Engineer,Software Engineer Senior -(Data Ops_SSIS_SQL_PowerBI),FIS,"['Powerbi', 'Agile', 'Tableau', 'Scrum', 'Azure']",Full time,"Pune, India",0-2 Years
20,Data Engineer,Expert Data Engineer,Swiss Re,"['Palantir Foundry', 'Python', 'Sql', 'Scrum', 'Agile']",Full time,"Hyderabad / Secunderabad, Telangana, India",10-12 Years
21,Data Engineer,Data Engineer,Myntra,"['Java', 'python', 'Kafka', 'Spark', 'Aerospike']",Full time,"Bengaluru / Bangalore, India",1-3 Years
22,Data Engineer,Data Science Engineer,Myntra,"['Ml', 'Algorithms', 'Java', 'python', 'Kafka', 'Spark']",Full time,"Bengaluru / Bangalore, India",1-6 Years
23,Data Engineer,Data Scientist Engineer,FIS,"['API Integrations', 'PowerBI Reports', 'Azure SQL MI']",Full time,"Chennai, India",5-12 Years
24,Data Engineer,Lead Data Engineer / Data Architect,Coforge,"['Data Lineage', 'Data Catalog', 'Data Dictionary Management']",Full time,"Bengaluru / Bangalore, India",0-2 Years
25,Data Engineer,Senior Data Engineer,Myntra,"['Java', 'python', 'Kafka', 'Spark', 'Aerospike']",Full time,"Bengaluru / Bangalore, India",4-6 Years
26,Data Engineer,Lead Software Engineer - Data Engineer,Chase Bank,"['Mobile', 'Software Engineering', 'Agile Methodologies']",Full time,"Hyderabad / Secunderabad, Telangana, India",5-7 Years
27,Data Engineer,"Mgr, Data Engineer Mgmt",servicenow,"['Data Analysis', 'snowflake', 'NO SQL databases']",Full time,"Hyderabad / Secunderabad, Telangana, India",10-12 Years
28,Data Engineer,"Data Engineer - Big Data technologies (Hadoop, Java, Spark, Kafka, Hive)",Visa,"['Java', 'Unix', 'Hadoop', 'Big Data', 'Kafka', 'Tableau']",Full time,"Bengaluru / Bangalore, India",1-3 Years
29,Data Engineer,"Software Engineer II, Data Analyst",Bristol Myers Squibb,"['Data Analysis', 'Data Security', 'Power Bi', 'Data Visualization']",Full time,"Hyderabad / Secunderabad, Telangana, India",2-4 Years
30,Data Engineer,"Lead Software Engineer - Data Engineer (Java, Spark)",Chase Bank,"['Mobile', 'CI/CD', 'Security', 'Application Resiliency']",Full time,"Bengaluru / Bangalore, India",0-2 Years
