key,job_role,job_title,company_name,skills,job_type,location,experience
1,Data Engineer,H1B Visa Sponsorship for IT Professionals for Azure/AWS Data Engineer,Intalent LLC,"['Data Optimization', 'Data Analysis', 'Deployment']","International, Full time",United States of America (USA),6-12 Years
2,Data Engineer,Data Engineer - Max - 30 LPA,Rapsys Tech Solutions Private Limited,"['data pipelines', 'Java. python', 'hdfs', 'Data Engineer']",Full time,Bengaluru / Bangalore,7-17 Years
3,Data Engineer,Data Engineer,Career Foresight Hr Solutions Llp,['Data Engineer'],Full time,Cochin / Kochi / Ernakulam,6-10 Years
4,Data Engineer,Sr. Data Engineer,foundit,"['Azure', 'Data Engineer']",Full time,Bengaluru / Bangalore,3-5 Years
5,Data Engineer,React Native Onsite Job For IT GCP DATA Engineer USA H1B Visa,Vaakruthi Software Solutions,['React Native'],Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana",3-13 Years
6,Data Engineer,"AZURE , Data Engineer",Elite,"['Azure', 'Data Engineer']",Full time,Coimbatore,1-7 Years
7,Data Engineer,DATA engineer with AZURE,ERM Placement Services Private Limited,['Pyspark'],"Jobs for Women, Full time","Bengaluru / Bangalore, Noida",4-8 Years
8,Data Engineer,Spark / Scala – Data Engineer - Hybrid model,Skanda IT Consulting Private Limited,"['Hive SQL', 'Spark', 'Scala', 'Data Engineer', 'Pyspark']",Full time,"Bengaluru / Bangalore, Mumbai",6-12 Years
9,Data Engineer,Data Science Engineer,Electrobrain Modern Technologies Private Limited,['pythondata miningProblem SolvingsqlData Science Pysparkalgorithmsnatural language processingteam handlingtime seriesnosqlanalyticsdeep learningregressionlogistic regressionmongodb'],Full time,"Noida, Pune",3-8 Years
10,Data Engineer,Azure Data Engineer,Elite,['Azure Data Engineer'],Full time,Coimbatore,4-7 Years
11,Data Engineer,Data Operations and Developement Engineer - Con- Bangalore (Job Code : J47634),Sampoorna Consultants Private Limited,['SQL Server'],Full time,Bengaluru / Bangalore,3-8 Years
12,Data Engineer,AWS Data engineer,Kaizen SRA Technologies Private Limited,"['airflow', 'python', 'Pyspark', 'aws', 'oozie']","Jobs for Women, Full time",Bengaluru / Bangalore,4-8 Years
13,Data Engineer,Sr Azure Data Engineer,Company name confidential,"['Data Processing', 'databrick', 'Data Structures']","Jobs for Women, Full time",Pune,5-7 Years
14,Data Engineer,Azure Data Engineer,Tredence Analytics Solutions Private Limited,['Data Engineer'],Full time,"Bengaluru / Bangalore, Gurgaon / Gurugram",5-9 Years
15,Data Engineer,Data Engineer,Yellow Umbrella Group,"['Azure Data Engineer', 'ADL', 'Data Engineer']",Full time,"Delhi, Pune",4-9 Years
16,Data Engineer,"Data Engineer - Big Data technologies (Hadoop, Java, Spark, Kafka, Hive)",Visa,[],Full time,"Bengaluru / Bangalore, India",Fresher
17,Data Engineer,"Data Engineer - Big Data ((Hadoop, Java, Spark, Kafka, Hive)",Visa,[],Full time,"Bengaluru / Bangalore, India",Fresher
18,Data Engineer,Azure Data Engineer,Tredence Analytics Solutions Private Limited,['Data Engineer'],Full time,"Bengaluru / Bangalore, Gurgaon / Gurugram",5-9 Years
19,Data Engineer,React Native Onsite Job For IT GCP DATA Engineer USA H1B Visa,Vaakruthi Software Solutions,['React Native'],Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana",3-13 Years
20,Data Engineer,Spark / Scala – Data Engineer - Hybrid model,Skanda IT Consulting Private Limited,"['Hive SQL', 'Spark', 'Scala', 'Data Engineer', 'Pyspark']",Full time,"Bengaluru / Bangalore, Mumbai",6-12 Years
21,Data Engineer,"Data Engineer - Big Data (Hadoop, Java, Spark, Kafka, Hive)",Visa,[],Full time,"Bengaluru / Bangalore, India",Fresher
22,Data Engineer,Data Science Engineer,Electrobrain Modern Technologies Private Limited,['pythondata miningProblem SolvingsqlData Science Pysparkalgorithmsnatural language processingteam handlingtime seriesnosqlanalyticsdeep learningregressionlogistic regressionmongodb'],Full time,"Noida, Pune",3-8 Years
23,Data Engineer,Data Engineer - Lead,dentsu,"['table design', 'snowflake', 'Query Optimization']",Full time,"Thane, India",7-9 Years
24,Data Engineer,Data Engineer,Career Foresight Hr Solutions Llp,['Data Engineer'],Full time,Cochin / Kochi / Ernakulam,6-10 Years
25,Data Engineer,Sr. Data Engineer,Crowdstrike,"['cloud platforms', 'Adobe Experience Cloud']",Full time,"Pune, India",5-7 Years
26,Data Engineer,Data engineer,Ericsson,"['Analytics', 'Process Query Language', 'Celonis']",Full time,"Bengaluru / Bangalore, India",3-5 Years
27,Data Engineer,Data Engineer,Company name confidential,"['Scala', 'Spark']","Work From Home, Full time",Bengaluru / Bangalore,0-4 Years
28,Data Engineer,"Sr Data Engineer -Big Data technologies (Hadoop, Java, Spark, Kafka, Hive)",Visa,[],Full time,"Bengaluru / Bangalore, India",Fresher
