key,job_role,job_title,company_name,skills,job_type,location,experience
1,Data Engineer,Data Engineer - Max - 30 LPA,Rapsys Tech Solutions Private Limited,"data pipelines,Java. python,hdfs,Data Engineer",Full time,Bengaluru / Bangalore,7-17 Years
2,Data Analyst,Advisory-Management-P Data Visualization Analyst,KPMG,,Full time,Bengaluru / Bangalore,Fresher
3,Data Architect,Senior Data Architect,Oracle,"proposal reviews,rapid proof,Competitor Analysis",Full time,"Bengaluru / Bangalore, India",10-15 Years
4,Data Scientist,Analyst - Data Scientist,United Breweries,"R,Big Data ecosystems,non-structured data",Full time,"Gurugram, Gurgaon / Gurugram",2-4 Years
5,Machine Learning Engineer,Machine Learning Ops Engineer,LTIMindtree Limited,"Machine Learning Ops,Machine Learning",Full time,"Bengaluru / Bangalore, Chennai",5-9 Years
