key,job_role,job_title,company_name,skills,job_type,location,experience
1,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"['Data Engineer', 'Spark', 'Hive', 'Sqoop', 'Kafka']",Full time,Gurgaon / Gurugram,7-10 Years
2,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"['Data Engineer', 'Spark', 'Hive', 'Sqoop', 'Kafka']",Full time,"Bengaluru / Bangalore, Mumbai",7-10 Years
3,Data Engineer,Data Engineer,Synechron Technologies Private Limited,"['Data Engineer', 'Spark', 'Hive', 'Sqoop', 'Kafka']",Full time,"Chennai, Pune",7-10 Years
4,Data Engineer,Data Engineer Ab Initio,Brain Management Consultants India Private Limited,"['Ab Initio GDE', 'Ab Initio', 'Abinitio']",Full time,"Bengaluru / Bangalore, Gurgaon / Gurugram",3-10 Years
5,Data Engineer,Data Engineer - OACS,LTIMindtree Limited,"['OACS', 'OAC', 'OAS', 'OBIEE']",Full time,Mumbai,3-8 Years
6,Data Engineer,Data Engineer- OBIEE,LTIMindtree Limited,"['Business Intelligence', 'OBIEE', 'Data Warehouse']",Full time,"Bengaluru / Bangalore, Mumbai",3-8 Years
7,Data Engineer,Data Engineer with Python,HNM Solutions,"['Data Engineer', 'python', 'AWS', 'Pyspark']",Full time,Chennai,5-5 Years
8,Data Engineer,Data Engineer,Supernal Infotech Private Limited,"['AWS Glue', 'Redshift', 'Kinesis']","Contract Job, International, Part time","Malaysia, Thailand",6-8 Years
9,Data Engineer,Data Engineer And DataWare House,Quess IT Staffing (Formerly known as Magna Infotech),"['Dataware House', 'Python', 'Pyspark', 'Sql Queries']",Full time,"Hyderabad / Secunderabad, Telangana",5-10 Years
10,Data Engineer,Data Engineer,Mobile Programming LLC,['SQL Python/Scala/Java Big Data technologies (Hadoop'],Full time,"Bengaluru / Bangalore, Chennai",3-5 Years
11,Data Engineer,Snowflake Data Engineer (Snowflake Datawarehouse) Lead,Santo Systems Private Limited,"['Snowflake Data Engineer', 'Snowflake Data Warehouse']",Full time,Bengaluru / Bangalore,12-14 Years
12,Data Engineer,Data Engineer,Tranquil Hr Solutions Private Limited,"['Cloud Data Engineering', 'Spark', 'Databricks']",Full time,Chennai,4-6 Years
13,Data Engineer,Data engineer,Live Connections,"['Big Data', 'Pyspark', 'Python']",Full time,Chennai,2-5 Years
14,Data Engineer,Data Governance Engineer,HR Desire,"['Analytical Skills', 'Data Governance', 'Microsoft Azure']",Full time,Gurgaon / Gurugram,4-8 Years
15,Data Engineer,Data Engineer,Quess IT Staffing (Formerly known as Magna Infotech),"['Azure', 'Aws Cloud']",Full time,Bengaluru / Bangalore,4-10 Years
16,Data Engineer,Senior Data Engineer for Enterprise AI/ML,Oracle,"['data pipelines', 'Data Flow', 'data scientists']",Full time,"Bengaluru / Bangalore, India",0-2 Years
17,Data Engineer,Senior Principal Data Engineer - AI/ML - Bangalore,Michael Page,"['Eventhub', 'snowflake', 'ETL/ELT', 'Spark', 'Kafka']",Full time,"Bengaluru / Bangalore, India",3-15 Years
18,Data Engineer,Azure Data Engineer,Company name confidential,"['Adf', 'Azure Data Bricks', 'Azure Data Lake', 'Pyspark']",Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana",5-13 Years
19,Data Engineer,Consulting - SA&MA - Stream Data Engineer,Deloitte,"['AtScale', 'Gcp', 'BigQuery', 'Sql', 'Etl', 'Python']",Full time,"Delhi, India",0-2 Years
20,Data Engineer,Urgent requirement WFH or remote C2C-Azure Cloud Graph Data Engineer,Mindpower HR Solutions,['Graph database. Graph Modeling & Ingestion. Cypher/GQL'],Full time,Remote,5-15 Years
21,Data Engineer,Principal Consultant - Google Cloud Platform (GCP) Data Engineer,Genpact,"['dataprep', 'data engineering', 'Data Integration']",Full time,"Gurugram, Gurgaon / Gurugram",0-2 Years
22,Data Engineer,Principal Consultant-Senior Data Engineer,Genpact,"['Python', 'Sql', 'graph databases', 'AWS', 'Etl']",Full time,Pune,5-10 Years
23,Data Engineer,Principal Consultant-Senior Data Engineer,Genpact,"['dbt', 'snowflake', 'AWS/Azure/GCP', 'Python/PySpark']",Full time,Bengaluru / Bangalore,5-10 Years
24,Data Engineer,Senior Data Engineer - Data Analytics Competence GECIA,Atlas Copco,"['Ac', 'Tibco Data Virtualisation', 'Sql', 'Power Bi']",Full time,"Pune, India",2-3 Years
25,Data Engineer,Deputy Manager_Assistant Lead_GCP Data Engineer_Pune,Vodafone,"['GCP DataProc', 'Nosql', 'BigQuery', 'Pyspark']",Full time,Pune,5-9 Years
